DesertTrack102Data_Begin			
	Name	Banjoo Bush BattleRace	
	CreateTile	DesertAssets	[#type: "DesertFOffroadCurves2", #aipath: ["DesertFOffroadCurves2"], #direction: "EastSouth", #position: vector(750.0,-250.0,0.0), #RoadBlock_Object: [[vector (736.955,-345.351,1.27072), [-0.10,-0.51,0.16,0.84] ]]]
	CreateTile	DesertAssets	[#type: "DesertFOffroadVertical2", #aipath: ["DesertFOffroadVertical2"], #direction: "NorthSouth", #position: vector(750.0,-500.0,0.000539984), #CrateSmall_Object: [[vector (763.436,-581.911,0.012041), [0.00,0.00,0.07,1.00] ], [vector (752.179,-582.836,0.000168435), [0.00,0.00,0.00,1.00] ], [vector (756.474,-586.241,0.000170117), [0.00,0.00,0.00,1.00] ], [vector (755.113,-584.512,0.000169367), [0.00,0.00,0.00,1.00] ]], #OilDrumNormal_Object: [[vector (763.016,-584.743,0.0706991), [0.00,0.00,0.07,1.00] ], [vector (761.186,-586.921,0.000170953), [0.00,0.00,0.00,1.00] ], [vector (760.924,-583.443,0.00016958), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (761.922,-581.713,0.000169062), [0.00,0.00,0.00,1.00] ]], #RoadBlock_Object: [[vector (758.138,-537.669,0.000153072), [0.00,0.92,0.00,-0.38] ], [vector (760.36,-376.643,0.000385395), [0.00,-0.79,0.00,0.61] ]], #Nitro_PickUp: [[vector (756.362,-419.24,1.50012), [-0.71,0.00,0.00,0.71] ]], #Repair_PickUp: [[vector (742.627,-419.818,1.50011), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFTransitionCurve1", #aipath: ["DesertFTransitionCurve1"], #direction: "NorthSouth", #position: vector(750.0,-750.0,9.99992), #OilDrumExplosive_Object: [[vector (720.563,-866.019,24.5288), [-0.08,0.16,0.08,0.98] ]], #StopSign_Object: [[vector (711.025,-763.214,10.0002), [0.00,1.00,0.00,0.00] ], [vector (699.964,-759.072,10.0002), [0.00,1.00,0.00,0.00] ]], #ArrowsLeft_Object: [[vector (692.723,-774.983,10.0002), [0.00,0.79,0.00,0.61] ], [vector (687.056,-733.38,10.921), [0.06,0.71,0.07,0.70] ]]]
	CreateTile	DesertAssets	[#type: "DesertFRoadOuterCurve3", #aipath: ["DesertFRoadOuterCurve3"], #direction: "NorthEast", #position: vector(750.0,-1000.0,10.0), #CrateSmall_Object: [[vector (764.179,-900.768,9.01533), [0.04,0.00,0.00,1.00] ], [vector (764.281,-904.391,8.72829), [0.04,0.00,0.00,1.00] ]], #OilDrumNormal_Object: [[vector (767.104,-902.972,8.94368), [0.06,-0.00,-0.06,1.00] ]], #OilDrumExplosive_Object: [[vector (735.947,-891.913,10.0274), [0.02,0.04,0.09,1.00] ], [vector (760.03,-877.86,9.98017), [0.00,0.09,-0.00,1.00] ], [vector (765.827,-954.567,3.41551), [0.05,0.49,-0.03,0.87] ], [vector (776.549,-968.607,1.94055), [0.04,0.64,-0.04,0.76] ], [vector (775.791,-923.629,7.0468), [-0.01,0.91,-0.08,0.41] ], [vector (757.97,-988.345,12.5436), [-0.02,0.49,0.03,0.87] ]], #PhoneBooth_Object: [[vector (766.659,-906.482,8.55525), [0.04,0.11,-0.00,0.99] ]], #Detonator_PickUp: [[vector (745.817,-877.984,11.4658), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFRoadInnerCurve1", #aipath: ["DesertFRoadInnerCurve1"], #direction: "WestSouth", #position: vector(1000.0,-1000.0,0.000763995), #RoadBlock_Object: [[vector (973.654,-1031.54,4.9934), [-0.01,-0.39,0.01,0.92] ], [vector (981.27,-1041.25,4.81598), [-0.01,-0.50,0.02,0.86] ], [vector (990.84,-1055.76,3.26306), [0.01,-0.60,0.06,0.80] ]], #Nitro_PickUp: [[vector (972.336,-1047.18,6.29722), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#type: "DesertFRoadInnerCurve2", #aipath: ["DesertFRoadInnerCurve2"], #direction: "NorthWest", #position: vector(1000.0,-1250.0,0.000738995)]
	CreateTile	DesertAssets	[#type: "DesertFRoadOuterCurve4", #aipath: ["DesertFRoadOuterCurve4"], #direction: "EastSouth", #position: vector(750.0,-1250.0,-9.99975)]
	CreateTile	DesertAssets	[#type: "DesertFRoadVertical1", #aipath: ["DesertFRoadVertical1"], #direction: "NorthSouth", #position: vector(750.0,-1500.0,-9.9999), #Repair_PickUp: [[vector (759.492,-1406.54,-8.49968), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	DesertAssets	[#deco: TRUE, #parent: 1, #type: "DesertFTransferRoadSand", #aipath: ["DesertFTransferRoadSand"], #direction: "NorthSouth", #position: vector(-0.0001637,-250.0,-0.000217642)]
	CreateTile	DesertAssets	[#deco: TRUE, #parent: 11, #type: "DesertFRoadOuterCurve3", #aipath: ["DesertFRoadOuterCurve3"], #direction: "NorthSouth", #position: vector(500.0,-749.999,19.9999)]
	CreateTile	DesertAssets	[#deco: TRUE, #parent: 16, #type: "DesertFRoadCurves2", #aipath: ["DesertFRoadCurves2"], #direction: "NorthSouth", #position: vector(750.0,-1750.0,-10.0)]
DesertTrack102Build_End			
