DesertTrack101Data_Begin			
	Name	Vertigo GooseHunt	
	CreateTile	DesertAssets	[#type: "DesertFRoadCurves1", #aipath: ["DesertFRoadCurves1"], #direction: "SouthNorth", #position: vector(-250.0,1000.0,23.0004), #Repair_PickUp: [[vector (-289.547,1040.05,24.5001), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertDFTransferTunnel2", #aipath: ["DesertDFTransferTunnel2"], #direction: "SouthNorth", #position: vector(-250.0,1250.0,22.9998), #Nitro_PickUp: [[vector (-246.368,1160.2,21.4866), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertDCurveOuter1", #aipath: ["DesertDCurveOuter1"], #direction: "SouthWest", #position: vector(-250.001,1500.0,18.0), #CrateSmall_Object: [[vector (-260.914,1407.87,18.7871), [0.01,0.05,0.03,1.00] ], [vector (-261.087,1409.35,18.8299), [0.02,0.31,0.03,0.95] ], [vector (-262.65,1408.83,19.0027), [0.02,0.31,0.06,0.95] ]], #OilDrumNormal_Object: [[vector (-246.213,1430.52,19.722), [0.02,0.00,-0.01,1.00] ], [vector (-246.995,1432.78,19.827), [0.02,0.00,-0.01,1.00] ], [vector (-282.659,1450.99,20.6064), [0.02,0.00,0.01,1.00] ]], #OilDrumExplosive_Object: [[vector (-298.752,1487.94,22.4804), [0.03,0.00,-0.00,1.00] ], [vector (-300.663,1487.94,22.4763), [0.03,0.00,-0.00,1.00] ]], #Nitro_PickUp: [[vector (-345.214,1493.91,24.2228), [-0.10,-0.51,0.06,0.85] ]], #Detonator_PickUp: [[vector (-250.426,1401.34,19.9535), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertDHorizontalStraight2", #aipath: ["DesertDHorizontalStraight2"], #direction: "EastWest", #position: vector(-500.001,1500.0,22.9998), #Nitro_PickUp: [[vector (-409.981,1499.47,24.4998), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertDInnerCurve3", #aipath: ["DesertDInnerCurve3"], #direction: "EastNorth", #position: vector(-750.0,1500.0,13.0)]
	CreateTile	DesertAssets	[#type: "DesertDInnerCurve4", #aipath: ["DesertDInnerCurve4"], #direction: "SouthEast", #position: vector(-750.0,1750.0,13.0), #Repair_PickUp: [[vector (-738.309,1700.38,23.3221), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertDHorizontalStraight1", #aipath: ["DesertDHorizontalStraight1"], #direction: "WestEast", #position: vector(-500.001,1750.0,22.9998), #Nitro_PickUp: [[vector (-433.134,1749.65,24.4998), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertDHorizontalStraight1", #aipath: ["DesertDHorizontalStraight1"], #direction: "WestEast", #position: vector(-250.001,1750.0,22.9999)]
	CreateTile	DesertAssets	[#type: "DesertDHorizontalStraight1", #aipath: ["DesertDHorizontalStraight1"], #direction: "WestEast", #position: vector(-0.000541687,1750.0,22.9999)]
	CreateTile	DesertAssets	[#type: "DesertDCurveOuter2", #aipath: ["DesertDCurveOuter2"], #direction: "WestNorth", #position: vector(249.999,1750.0,23.0)]
	CreateTile	DesertAssets	[#type: "DesertDVerticalStraight", #aipath: ["DesertDVerticalStraight"], #direction: "SouthNorth", #position: vector(250.0,2000.0,19.0003), #Repair_PickUp: [[vector (256.385,2033.96,20.5003), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertDCurly1", #aipath: ["DesertDCurly1"], #direction: "SouthNorth", #position: vector(250.0,2250.0,18.9999)]
	CreateTile	DesertAssets	[#type: "DesertDCurly2", #aipath: ["DesertDCurly2"], #direction: "SouthNorth", #position: vector(220.001,2500.0,44.0), #CashBig_PickUp: [[vector (203.064,2482.74,42.3955), [-0.10,-0.51,0.06,0.85] ]], #CashSmall_PickUp: [[vector (204.763,2469.75,43.3818), [-0.10,-0.51,0.06,0.85] ], [vector (206.596,2457.86,44.0877), [-0.10,-0.51,0.06,0.85] ], [vector (209.92,2445.59,44.6594), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertDVerticalStraight", #aipath: ["DesertDVerticalStraight"], #direction: "SouthNorth", #position: vector(220.001,2750.0,29.0004), #Nitro_PickUp: [[vector (220.03,2694.03,30.5004), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertDBridgeVertical", #aipath: ["DesertDBridgeVertical"], #direction: "SouthNorth", #position: vector(220.001,3000.0,29.0004), #StopSign_Object: [[vector (221.988,2915.11,29.0739), [-0.00,0.00,0.00,1.00] ], [vector (227.287,2914.61,29.0384), [0.00,-0.13,0.01,0.99] ], [vector (228.92,3044.15,29.0055), [0.00,-0.08,0.00,1.00] ], [vector (234.322,3042.66,29.0909), [-0.01,0.18,0.00,0.98] ], [vector (238.788,3042.0,29.1026), [-0.01,-0.21,-0.00,0.98] ]], #Nitro_PickUp: [[vector (223.801,3098.48,30.5141), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertDBridgeVertical", #aipath: ["DesertDBridgeVertical"], #direction: "SouthNorth", #position: vector(220.001,3250.0,29.0004), #StopSign_Object: [[vector (216.398,3142.17,29.0968), [0.00,-0.13,0.01,0.99] ], [vector (222.472,3141.18,29.0004), [0.00,0.13,0.00,0.99] ], [vector (232.435,3139.8,29.0911), [0.00,0.00,0.00,1.00] ], [vector (228.678,3286.07,29.0458), [-0.00,-0.11,0.01,0.99] ], [vector (233.135,3288.64,29.0863), [-0.00,0.28,-0.01,0.96] ], [vector (236.714,3286.41,29.1416), [0.00,-0.11,-0.01,0.99] ]], #Nitro_PickUp: [[vector (222.375,3359.48,30.515), [-0.10,-0.51,0.06,0.85] ]]]
	CreateTile	DesertAssets	[#type: "DesertDBridgeVertical", #aipath: ["DesertDBridgeVertical"], #direction: "SouthNorth", #position: vector(220.001,3500.0,29.0004), #StopSign_Object: [[vector (219.255,3403.55,29.1344), [0.00,-0.00,0.01,1.00] ], [vector (224.93,3404.25,29.0513), [0.00,-0.00,0.01,1.00] ]], #Ramp4_Object: [[vector (229.509,3430.8,29.0005), [0.00,0.00,0.00,1.00] ]]]
	CreateTile	DesertAssets	[#deco: TRUE, #parent: 1, #type: "DesertDCurly1", #aipath: ["DesertDCurly1"], #direction: "SouthNorth", #position: vector(29.9998,-250.0,-25.0004)]
	CreateTile	DesertAssets	[#deco: TRUE, #parent: 4, #type: "DesertFOffroadVertical2", #aipath: ["DesertFOffroadVertical2"], #direction: "SouthNorth", #position: vector(0.0,1000.0,3.0007)]
	CreateTile	DesertAssets	[#deco: TRUE, #parent: 22, #type: "DesertDCornerTown1", #aipath: ["DesertDCornerTown1"], #direction: "SouthNorth", #position: vector(220.001,3750.0,29.0003)]
DesertTrack101Build_End			
