CityTrack4Data_Begin			
	Name	Desert Heat Rampage	
	CreateTile	CityAssets	[#type: "CityCurves", #aipath: ["CityCurves"], #direction: "SouthNorth", #position: vector(0.0,500.0,0.0), #Pylon_Object: [[vector (7.5514,393.349,-0.00104856), [0.00,0.05,0.00,1.00] ], [vector (9.73243,391.168,-0.00104856), [0.00,0.05,0.00,1.00] ], [vector (13.1598,391.168,0.298953), [0.00,0.05,0.00,1.00] ]], #OilDrumNormal_Object: [[vector (69.0685,491.744,0.300052), [0.00,0.00,0.00,1.00] ], [vector (69.4874,488.026,0.500054), [0.00,0.00,0.00,1.00] ], [vector (65.9697,488.223,0.300051), [0.00,0.00,0.00,1.00] ], [vector (66.1144,488.498,2.06128), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (13.8608,397.477,0.300037), [0.00,0.00,0.00,1.00] ], [vector (65.0698,484.693,0.300051), [0.00,0.00,0.00,1.00] ]], #CrateBig_Object: [[vector (38.6163,509.819,0.300049), [0.00,0.00,0.00,1.00] ], [vector (45.0399,514.717,0.0), [0.00,0.00,0.00,1.00] ], [vector (46.1305,511.212,0.0), [0.00,0.00,0.00,1.00] ], [vector (48.6231,513.237,0.0), [0.00,0.00,0.00,1.00] ], [vector (44.0273,509.733,0.0), [0.00,-0.26,0.00,0.97] ], [vector (46.9874,511.446,1.86558), [0.00,-0.26,0.00,0.97] ], [vector (41.4568,509.966,0.0), [0.00,-0.26,0.00,0.97] ], [vector (39.1979,510.044,2.16558), [0.00,-0.26,0.00,0.97] ], [vector (11.8356,398.723,0.0), [0.00,0.00,0.00,1.00] ], [vector (11.7577,401.138,0.0), [0.00,0.00,0.00,1.00] ], [vector (13.4714,399.892,0.0), [0.00,0.00,0.00,1.00] ], [vector (11.9135,399.503,1.86556), [0.00,0.00,0.00,1.00] ]], #StopSign_Object: [[vector (44.4947,497.97,0.0), [0.00,0.00,0.00,1.00] ]], #SheetSmall_Object: [[vector (9.42086,397.088,-0.272129), [0.00,-0.00,0.00,1.00] ]], #SheetBig_Object: [[vector (11.1345,395.218,-0.361388), [0.00,-0.50,0.00,0.87] ]], #GasTank_Object: [[vector (72.8169,493.664,0.300053), [0.00,0.00,0.00,1.00] ]], #LupoRed: [[vector (7.51834,404.015,0.0), [0.00,-0.13,0.00,0.99] ]], #TransporterRed: [[vector (52.5153,474.263,0.0), [0.00,-0.13,0.00,0.99] ], [vector (3.52708,583.989,0.0), [0.00,0.26,0.00,0.97] ]], #TransporterWhite: [[vector (19.0222,417.435,0.0), [0.00,0.97,0.00,0.26] ]], #BusGrey: [[vector (51.6093,496.245,0.0), [0.00,0.00,0.00,1.00] ]], #BusDog: [[vector (-4.42372,607.391,0.0), [0.00,1.00,0.00,0.00] ]]]
	CreateTile	CityAssets	[#type: "CityVertical", #aipath: ["CityVertical"], #direction: "SouthNorth", #position: vector(0.0,750.0,0.0), #LupoBlue: [[vector (-1.69873,855.57,0.0), [0.00,1.00,0.00,0.00] ]], #TransporterWhite: [[vector (-2.70375,711.735,0.0), [0.00,1.00,0.00,0.00] ]], #TruckRed: [[vector (-6.40379,690.534,0.0), [0.00,1.00,0.00,0.00] ]], #TruckGreen: [[vector (-6.11413,732.108,0.0), [0.00,1.00,0.00,0.00] ], [vector (-6.28519,872.694,0.0), [0.00,1.00,0.00,0.00] ]]]
	CreateTile	CityAssets	[#type: "CityCurveDown", #aipath: ["CityCurveDown"], #direction: "SouthNorth", #position: vector(0.0,1000.0,0.000100015), #OilDrumExplosive_Object: [[vector (1.19374,1006.5,-2.13514), [-0.02,-0.00,-0.01,1.00] ], [vector (7.33433,1004.72,-1.95568), [-0.02,-0.00,-0.00,1.00] ], [vector (5.58141,1006.89,-2.07219), [-0.02,-0.00,-0.01,1.00] ]], #VendingMachine_Object: [[vector (11.3554,1010.13,-2.2323), [-0.01,0.00,0.02,1.00] ], [vector (14.3619,1010.08,-2.35069), [-0.01,0.00,0.02,1.00] ]], #CrateBig_Object: [[vector (8.81843,1009.8,-2.15588), [-0.03,0.00,-0.01,1.00] ]], #LupoRed: [[vector (7.07741,930.688,0.0), [0.00,0.00,0.00,1.00] ]], #TransporterRed: [[vector (-33.2142,1078.93,-3.4999), [0.00,0.00,0.00,1.00] ]], #TruckGreen: [[vector (-33.5889,1089.19,-3.4999), [0.00,0.00,0.00,1.00] ]]]
	CreateTile	CityAssets	[#type: "CityIntersection", #aipath: ["CityIntersection"], #direction: "SouthWest", #position: vector(-40.002,1250.0,-3.49988), #CrateSmall_Object: [[vector (-48.2208,1225.74,-3.49989), [0.00,0.00,0.00,1.00] ], [vector (-45.9431,1224.64,-3.49989), [0.00,0.00,0.00,1.00] ], [vector (-47.4255,1224.33,-3.49989), [0.00,0.00,0.00,1.00] ], [vector (-47.0101,1224.6,-2.21749), [0.00,0.00,0.00,1.00] ], [vector (-34.9112,1232.95,-3.49989), [0.00,0.00,0.00,1.00] ], [vector (-29.9023,1234.46,-3.19989), [0.00,0.00,0.00,1.00] ]], #OilDrumNormal_Object: [[vector (-28.812,1255.62,-3.49988), [0.00,0.00,0.00,1.00] ], [vector (-29.9494,1258.58,-3.49988), [0.00,0.00,0.00,1.00] ], [vector (-21.6773,1268.49,1.34433), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-31.3358,1255.33,-3.49988), [0.00,0.00,0.00,1.00] ], [vector (-30.129,1232.3,-3.49989), [0.00,0.00,0.00,1.00] ], [vector (-51.5329,1257.61,-3.49988), [0.00,0.00,0.00,1.00] ], [vector (-23.7266,1267.61,1.34433), [0.00,0.00,0.00,1.00] ]], #RoadBlock_Object: [[vector (-40.2143,1262.88,-3.49988), [0.00,1.00,0.00,0.00] ]], #GasTank_Object: [[vector (-73.1537,1280.06,-3.19988), [0.00,0.00,0.00,1.00] ], [vector (-59.3464,1279.93,-3.19988), [0.00,0.00,0.00,1.00] ]], #Crosses_Object: [[vector (-35.2001,1322.99,-3.49988), [0.00,0.00,0.00,1.00] ], [vector (-10.4256,1251.22,-3.49988), [0.00,-0.71,0.00,0.71] ]], #TruckGreen: [[vector (-23.3897,1243.56,-3.49988), [0.00,0.71,0.00,0.71] ]], #Nitro_PickUp: [[vector (-128.353,1249.31,-1.99989), [-0.39,0.16,-0.07,0.91] ]], #Repair_PickUp: [[vector (-82.5394,1249.81,-1.99988), [-0.39,0.16,-0.07,0.91] ]], #Detonator_PickUp: [[vector (-39.8406,1187.28,-1.99989), [-0.39,0.16,-0.07,0.91] ]]]
	CreateTile	CityAssets	[#type: "CityCurve3", #aipath: ["CityCurve3"], #direction: "EastNorth", #position: vector(-290.002,1250.0,-3.50005)]
	CreateTile	CityAssets	[#type: "CityVertical", #aipath: ["CityVertical"], #direction: "SouthNorth", #position: vector(-290.002,1500.0,-3.49999), #LupoBlue: [[vector (-283.58,1480.01,-3.5), [0.00,0.00,0.00,1.00] ]], #LupoRed: [[vector (-287.592,1512.33,-3.49999), [0.00,0.00,0.00,1.00] ]], #TransporterRed: [[vector (-283.357,1537.96,-3.49999), [0.00,0.00,0.00,1.00] ]], #TransporterWhite: [[vector (-296.061,1577.56,-3.49999), [0.00,1.00,0.00,0.00] ], [vector (-296.061,1552.59,-3.49999), [0.00,1.00,0.00,0.00] ]], #BusGrey: [[vector (-296.061,1417.06,-3.5), [0.00,0.00,0.00,1.00] ]]]
	CreateTile	CityAssets	[#type: "CityCurve1", #aipath: ["CityCurve1"], #direction: "SouthWest", #position: vector(-290.002,1750.0,-3.49997)]
	CreateTile	CityAssets	[#type: "CityCurve3", #aipath: ["CityCurve3"], #direction: "EastNorth", #position: vector(-540.002,1750.0,-3.50013)]
	CreateTile	CityAssets	[#type: "CityCurves", #aipath: ["CityCurves"], #direction: "SouthNorth", #position: vector(-540.002,2000.0,-3.50007), #CrateBig_Object: [[vector (-474.122,1994.44,-3.20007), [0.00,0.00,0.00,1.00] ], [vector (-470.57,1991.21,-3.20007), [0.00,0.00,0.00,1.00] ], [vector (-472.785,1990.66,-3.20007), [0.00,-0.26,0.00,0.97] ], [vector (-471.744,1990.6,-1.33454), [0.00,-0.26,0.00,0.97] ]], #GasTank_Object: [[vector (-509.931,1999.26,-3.20008), [0.00,0.00,0.00,1.00] ]], #LupoBlue: [[vector (-528.851,1929.66,-3.50008), [0.00,0.92,0.00,0.38] ], [vector (-501.918,1962.19,-3.50008), [0.00,0.97,0.00,0.26] ]], #LupoRed: [[vector (-531.475,2077.89,-3.50007), [0.00,0.97,0.00,-0.26] ]], #BusDog: [[vector (-531.122,2105.98,-3.50007), [0.00,0.13,0.00,0.99] ]], #HiddenPackage_PickUp: [[vector (-469.003,1997.64,-1.70007), [-0.39,0.16,-0.07,0.91] ]]]
	CreateTile	CityAssets	[#type: "CityVertical", #aipath: ["CityVertical"], #direction: "SouthNorth", #position: vector(-540.002,2250.0,-3.50005), #OilDrumExplosive_Object: [[vector (-530.935,2215.86,-3.50006), [0.00,0.00,0.00,1.00] ], [vector (-547.872,2190.12,-3.50006), [0.00,0.00,0.00,1.00] ]], #StopSign_Object: [[vector (-546.615,2175.54,-3.50006), [0.00,0.00,0.00,1.00] ], [vector (-538.453,2174.39,-3.50006), [0.00,0.00,0.00,1.00] ], [vector (-532.171,2173.57,-3.50006), [0.00,0.00,0.00,1.00] ]], #BusDog: [[vector (-532.516,2133.79,-3.50006), [0.00,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (-539.868,2131.64,-2.00006), [-0.39,0.16,-0.07,0.91] ]]]
	CreateTile	CityAssets	[#type: "CityJunction", #aipath: ["CityJunction"], #direction: "SouthEast", #position: vector(-540.002,2500.0,-3.50002), #OilDrumExplosive_Object: [[vector (-552.765,2482.48,-3.20003), [0.00,0.00,0.00,1.00] ], [vector (-525.163,2426.55,-3.20004), [0.00,0.00,0.00,1.00] ], [vector (-526.101,2428.59,-3.20003), [0.00,0.00,0.00,1.00] ], [vector (-553.798,2419.75,-3.20004), [0.00,0.00,0.00,1.00] ]], #CrateBig_Object: [[vector (-555.345,2482.68,-3.20003), [0.00,0.00,0.00,1.00] ], [vector (-552.652,2479.17,-3.20003), [0.00,0.00,0.00,1.00] ], [vector (-553.224,2473.34,-3.20003), [0.00,0.00,0.00,1.00] ]], #DirectionArrows_Object: [[vector (-540.714,2513.47,-3.20003), [0.00,0.00,0.00,1.00] ]], #Dumpster_Object: [[vector (-522.255,2456.91,-3.20003), [0.00,0.00,0.00,1.00] ]], #Ramp3_Object: [[vector (-540.19,2397.69,-3.50004), [0.00,0.00,0.00,1.00] ]], #GarbageBag_Object: [[vector (-526.156,2456.16,-3.14788), [0.00,0.00,0.00,1.00] ], [vector (-524.343,2454.77,-3.14788), [0.00,0.00,0.00,1.00] ], [vector (-516.439,2458.07,-3.14788), [0.00,0.00,0.00,1.00] ], [vector (-532.815,2455.46,-3.44788), [0.00,-0.12,0.00,0.99] ]], #GasTankDestroyed_Object: [[vector (-558.87,2535.24,-3.20003), [0.00,0.00,0.00,1.00] ], [vector (-575.894,2533.99,-3.20003), [0.00,0.00,0.00,1.00] ]], #ParkingMeter_Object: [[vector (-516.857,2512.49,-3.20003), [0.00,0.00,0.00,1.00] ]], #Crosses_Object: [[vector (-604.687,2503.03,-3.50003), [0.00,0.71,0.00,0.71] ]], #TransporterRed: [[vector (-532.751,2468.91,-3.50003), [0.00,0.00,0.00,1.00] ]], #BusDog: [[vector (-574.812,2505.16,-3.50003), [0.00,-0.71,0.00,0.71] ]], #TruckRed: [[vector (-510.226,2505.06,-3.50003), [0.00,0.71,0.00,0.71] ]], #Detonator_PickUp: [[vector (-540.0,2409.31,-1.00003), [-0.39,0.16,-0.07,0.91] ]]]
	CreateTile	CityAssets	[#type: "CityHorizontal", #aipath: ["CityHorizontal"], #direction: "WestEast", #position: vector(-290.002,2500.0,-3.5), #Crosses_Object: [[vector (-262.862,2496.78,-3.5), [0.00,-0.71,0.00,0.71] ]]]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 1, #type: "CityDoubleExit", #aipath: ["CityDoubleExit"], #direction: "WestEast", #position: vector(0.0,-250.0,0.000326186)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 6, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "WestEast", #position: vector(-39.9651,1500.0,-3.79985)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 6, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "WestEast", #position: vector(-39.9651,1500.0,-3.79985)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 13, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "WestEast", #position: vector(-39.9651,1500.0,-3.79985)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 14, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "WestEast", #position: vector(-39.9651,1500.0,-3.79985)]
CityTrack4Build_End			
