CityTrack103Data_Begin			
	Name	Bangkok GooseHunt	
	CreateTile	CityAssets	[#type: "CityBeachIntersection", #aipath: ["CityBeachIntersection"], #direction: "EastSouth", #position: vector(-250.0,0.0,0.0), #CrateSmall_Object: [[vector (-259.957,-52.1426,0.0), [0.00,0.00,0.00,1.00] ]], #OilDrumNormal_Object: [[vector (-260.521,-44.9185,0.29997), [0.00,0.00,0.00,1.00] ]], #Dumpster_Object: [[vector (-262.575,-50.8375,0.299968), [0.00,0.71,0.00,0.71] ], [vector (-262.735,-59.8365,0.299967), [0.00,0.71,0.00,0.71] ], [vector (-263.237,-71.9061,0.299966), [0.00,0.71,0.00,0.71] ]], #GarbageBag_Object: [[vector (-262.45,-46.5899,0.352122), [0.00,0.00,0.00,1.00] ], [vector (-259.695,-49.3633,0.0521228), [0.00,0.27,0.00,0.96] ], [vector (-255.605,-48.3384,0.0521233), [0.00,0.41,0.00,0.91] ], [vector (-260.0,-46.8461,0.352123), [0.00,0.55,0.00,0.84] ]], #ParkingMeter_Object: [[vector (-260.922,-34.312,0.299971), [0.00,-0.71,0.00,0.71] ]], #ArrowsLeft_Object: [[vector (-259.316,0.722352,0.0), [0.00,0.71,0.00,0.71] ], [vector (-235.686,20.5231,0.29998), [0.00,0.00,0.00,1.00] ], [vector (-271.984,-33.3195,0.799971), [0.00,0.38,0.00,0.92] ]], #LupoBlue: [[vector (-243.14,-78.4216,0.0), [0.00,0.00,0.00,1.00] ]], #LupoRed: [[vector (-243.004,-114.901,0.0), [0.00,0.00,0.00,1.00] ]], #TransporterRed: [[vector (-258.021,-95.2412,0.0), [0.00,1.00,0.00,0.00] ]], #Nitro_PickUp: [[vector (-249.536,-45.8358,1.49999), [-0.13,0.27,-0.04,0.95] ]]]
	CreateTile	CityAssets	[#type: "CityBeachIntersection", #aipath: ["CityBeachIntersection"], #direction: "NorthWest", #position: vector(-250.0,-250.0,0.0), #OilDrumNormal_Object: [[vector (-217.263,-224.798,0.299956), [0.00,0.00,0.00,1.00] ], [vector (-218.97,-234.285,0.299955), [0.00,0.00,0.00,1.00] ], [vector (-222.108,-235.457,0.299954), [0.00,0.00,0.00,1.00] ], [vector (-228.571,-239.005,0.299953), [0.00,0.00,0.00,1.00] ], [vector (-254.503,-264.897,0.0), [0.00,0.00,0.00,1.00] ], [vector (-237.927,-261.097,0.29995), [0.00,0.00,0.00,1.00] ], [vector (-293.151,-201.95,0.29995), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-324.305,-238.112,0.299943), [0.00,0.93,0.00,-0.36] ], [vector (-343.859,-228.891,0.299942), [0.00,0.93,0.00,-0.36] ], [vector (-365.64,-237.83,0.29994), [0.00,0.93,0.00,-0.36] ], [vector (-316.017,-220.136,0.299946), [0.00,0.93,0.00,-0.36] ]], #CrateBig_Object: [[vector (-216.515,-228.171,0.299956), [0.00,0.00,0.00,1.00] ], [vector (-241.821,-230.435,0.0), [0.00,-0.38,0.00,0.92] ], [vector (-234.97,-233.466,0.299953), [0.00,-0.38,0.00,0.92] ]], #StopSign_Object: [[vector (-337.443,-255.85,0.0), [0.00,0.71,0.00,0.71] ], [vector (-338.782,-243.842,0.0), [0.00,0.50,0.00,0.87] ]], #DirectionArrows_Object: [[vector (-329.479,-275.395,0.29994), [0.00,1.00,0.00,0.00] ]], #Dumpster_Object: [[vector (-353.63,-260.461,0.299938), [0.00,-0.26,0.00,0.97] ], [vector (-365.893,-259.261,0.0), [0.00,0.00,0.00,1.00] ], [vector (-357.596,-270.941,0.299937), [0.00,-0.26,0.00,0.97] ]], #GarbageBag_Object: [[vector (-349.49,-262.265,0.352092), [0.00,0.00,0.00,1.00] ], [vector (-352.384,-258.149,0.0520924), [0.00,0.15,0.00,0.99] ], [vector (-350.82,-253.829,0.0520929), [0.00,0.01,0.00,1.00] ], [vector (-363.348,-258.275,0.0520909), [0.00,0.35,0.00,0.94] ], [vector (-357.377,-257.227,0.0520914), [0.00,0.24,0.00,0.97] ], [vector (-362.22,-228.166,0.352095), [0.00,0.10,0.00,0.99] ], [vector (-359.806,-228.137,0.352095), [0.00,-0.34,0.00,0.94] ], [vector (-358.955,-230.954,0.352094), [0.00,-0.34,0.00,0.94] ]], #ArrowsRight_Object: [[vector (-253.891,-264.897,0.0), [0.00,1.00,0.00,0.00] ], [vector (-291.157,-274.08,0.299946), [0.00,0.97,0.00,-0.26] ], [vector (-223.954,-247.093,0.0), [0.00,-0.87,0.00,0.50] ]], #LupoBlue: [[vector (-365.329,-252.556,0.0), [0.00,-0.71,0.00,0.71] ]], #LupoRed: [[vector (-243.397,-225.066,0.0), [0.00,0.00,0.00,1.00] ], [vector (-243.07,-209.753,0.0), [0.00,0.00,0.00,1.00] ], [vector (-243.366,-138.234,0.0), [0.00,0.00,0.00,1.00] ]], #TransporterRed: [[vector (-257.213,-193.869,0.0), [0.00,1.00,0.00,0.06] ], [vector (-309.754,-255.681,0.0), [0.00,-0.75,0.00,0.67] ]], #Detonator_PickUp: [[vector (-301.228,-228.222,1.79995), [-0.13,0.27,-0.04,0.95] ]]]
	CreateTile	CityAssets	[#type: "CityCurve3", #aipath: ["CityCurve3"], #direction: "EastNorth", #position: vector(-500.0,-250.0,-0.000213357), #GasTank_Object: [[vector (-380.039,-222.057,0.299924), [0.00,0.00,0.00,1.00] ], [vector (-401.019,-218.505,0.299918), [0.00,0.00,0.00,1.00] ], [vector (-456.409,-191.566,0.29989), [0.00,0.38,0.00,0.92] ]], #LupoBlue: [[vector (-506.639,-128.116,-0.000169918), [0.00,1.00,0.00,0.02] ]], #TransporterRed: [[vector (-381.856,-252.382,0.0), [0.00,-0.71,0.00,0.71] ]], #TransporterWhite: [[vector (-417.382,-236.547,0.0), [0.00,0.61,0.00,0.79] ]]]
	CreateTile	CityAssets	[#type: "CityJunction", #aipath: ["CityJunction"], #direction: "SouthWest", #position: vector(-500.0,0.0,-0.000155709), #CrateSmall_Object: [[vector (-522.739,-31.6854,0.299833), [0.00,0.00,0.00,1.00] ], [vector (-518.847,-33.0682,0.299834), [0.00,-0.38,0.00,0.92] ], [vector (-517.869,-31.1413,0.299834), [0.00,-0.38,0.00,0.92] ], [vector (-522.123,-27.7867,0.299834), [0.00,-0.38,0.00,0.92] ], [vector (-514.381,-30.7808,0.299834), [0.00,-0.38,0.00,0.92] ], [vector (-511.077,-30.4514,0.299835), [0.00,-0.38,0.00,0.92] ]], #OilDrumExplosive_Object: [[vector (-520.12,-36.973,0.299833), [0.00,0.00,0.00,1.00] ], [vector (-523.953,-23.994,0.299834), [0.00,0.00,0.00,1.00] ]], #VendingMachine_Object: [[vector (-522.322,-40.5281,0.299833), [0.00,0.71,0.00,0.71] ]], #SheetBig_Object: [[vector (-517.148,-35.2751,-0.0615905), [0.00,0.00,0.00,1.00] ], [vector (-509.861,-32.3561,-0.0615892), [0.00,0.26,0.00,0.97] ], [vector (-511.884,-23.3742,-0.0615948), [0.00,0.61,0.00,0.79] ]], #ArrowsLeft_Object: [[vector (-483.634,-5.29067,-0.000158131), [0.00,-0.71,0.00,0.71] ], [vector (-504.266,11.0708,0.299841), [0.00,0.00,0.00,1.00] ]], #LupoBlue: [[vector (-502.426,-113.307,-0.000172362), [0.00,1.00,0.00,0.02] ], [vector (-561.035,-7.26054,-0.000167757), [0.00,-0.63,0.00,0.78] ]], #LupoRed: [[vector (-619.1,-8.2071,-0.000173613), [0.00,-0.71,0.00,0.71] ], [vector (-554.084,-7.79762,-0.000167042), [0.00,-0.72,0.00,0.69] ], [vector (-506.871,-75.6087,-0.000169113), [0.00,1.00,0.00,0.05] ]], #BusGrey: [[vector (-506.501,-89.3074,-0.000170484), [0.00,1.00,0.00,0.00] ]], #Nitro_PickUp: [[vector (-580.178,-0.0976442,1.49985), [-0.13,0.27,-0.04,0.95] ]]]
	CreateTile	CityAssets	[#type: "CityIntersection", #aipath: ["CityIntersection"], #direction: "EastWest", #position: vector(-750.0,0.0,-0.000185701), #Pylon_Object: [[vector (-790.03,-7.85429,-0.00127393), [0.00,0.00,0.00,1.00] ], [vector (-790.109,-3.7363,-0.00127357), [0.00,0.00,0.00,1.00] ], [vector (-789.334,1.11859,-0.00127304), [0.00,0.00,0.00,1.00] ], [vector (-788.729,6.48973,-0.00127238), [0.00,0.00,0.00,1.00] ]], #RoadBlock_Object: [[vector (-749.608,15.4148,-0.000184059), [0.00,1.00,0.00,0.00] ]], #Dumpster_Object: [[vector (-748.391,4.87503,-0.000185132), [0.00,0.79,0.00,0.61] ], [vector (-740.422,6.23268,-0.000184298), [0.00,0.38,0.00,0.92] ], [vector (-753.846,-1.18295,-0.000186324), [0.00,0.71,0.00,0.71] ]], #Ramp2_Object: [[vector (-740.952,-0.768038,-0.000184178), [0.00,0.71,0.00,0.71] ]], #GarbageBag_Object: [[vector (-751.221,-0.931626,0.0519677), [0.00,0.00,0.00,1.00] ], [vector (-737.095,7.02477,0.05197), [0.00,-0.14,0.00,0.99] ], [vector (-735.083,8.75517,0.0519704), [0.00,-0.03,0.00,1.00] ], [vector (-738.107,9.1211,0.0519701), [0.00,-0.21,0.00,0.98] ]], #ArrowsRight_Object: [[vector (-749.337,-16.6089,-0.000185609), [0.00,1.00,0.00,0.00] ]], #SandBag_Object: [[vector (-737.586,4.94078,-0.000184089), [0.00,0.00,0.00,1.00] ]], #AdSign_Object: [[vector (-730.152,6.32284,-0.000183225), [0.00,0.61,0.00,0.79] ]], #LupoBlue: [[vector (-649.276,-6.63186,-0.000176251), [0.00,-0.72,0.00,0.69] ]], #LupoRed: [[vector (-637.789,-2.88724,-0.000174761), [0.00,-0.71,0.00,0.71] ]], #TruckGreen: [[vector (-834.532,-6.80761,-0.000194788), [0.00,-0.71,0.00,0.71] ]]]
	CreateTile	CityAssets	[#type: "CityBeachTwoOne", #aipath: ["CityBeachTwoOne"], #direction: "EastSouth", #position: vector(-1000.0,-80.0001,-0.000213232), #OilDrumNormal_Object: [[vector (-923.939,-2.97651,-0.000204384), [0.00,0.00,0.00,1.00] ], [vector (-930.23,3.40369,0.299798), [0.00,0.00,0.00,1.00] ], [vector (-927.234,4.77435,0.299798), [0.00,0.00,0.00,1.00] ], [vector (-927.602,1.33453,0.299797), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-922.658,0.824875,-0.000203907), [0.00,0.00,0.00,1.00] ]], #CrateBig_Object: [[vector (-916.082,12.0358,0.2998), [0.00,0.38,0.00,0.92] ], [vector (-919.712,4.79962,0.299798), [0.00,0.71,0.00,0.71] ]], #StopSign_Object: [[vector (-894.455,4.6567,-0.000197947), [0.00,0.79,0.00,0.61] ], [vector (-891.626,-5.66295,-0.000198901), [0.00,0.79,0.00,0.61] ], [vector (-888.688,-15.5749,0.299802), [0.00,0.79,0.00,0.61] ]], #SheetBig_Object: [[vector (-915.539,8.71104,-0.0616305), [0.00,0.00,0.00,1.00] ]], #DirectionArrows_Object: [[vector (-966.924,-138.383,-0.00022316), [0.00,0.92,0.00,-0.38] ], [vector (-984.102,-152.848,-0.000226498), [0.00,0.92,0.00,-0.38] ], [vector (-1002.89,-176.917,-0.000230789), [0.00,0.92,0.00,-0.40] ]], #Dumpster_Object: [[vector (-925.967,7.5556,0.299798), [0.00,0.00,0.00,1.00] ], [vector (-921.379,13.6516,0.299799), [0.00,0.46,0.00,0.89] ]], #Crosses_Object: [[vector (-1071.29,-31.4839,0.299782), [0.00,0.02,0.00,1.00] ], [vector (-1032.08,-30.8143,0.299785), [0.00,0.02,0.00,1.00] ]], #LupoBlue: [[vector (-908.64,-13.1575,-0.000204742), [0.00,-0.61,0.00,0.79] ]], #TruckRed: [[vector (-1029.22,-135.282,-0.0002262), [0.00,-0.13,0.00,0.99] ]], #Nitro_PickUp: [[vector (-1018.87,-90.0637,1.49979), [-0.13,0.27,-0.04,0.95] ]], #Repair_PickUp: [[vector (-957.253,-25.0817,1.49979), [-0.13,0.27,-0.04,0.95] ]]]
	CreateTile	CityAssets	[#type: "CityOneTwoBeach", #aipath: ["CityOneTwoBeach"], #direction: "NorthWest", #position: vector(-1100.0,-330.0,-0.000253477), #OilDrumNormal_Object: [[vector (-1057.63,-301.825,0.299754), [0.00,0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (-1090.68,-303.927,0.29975), [0.00,0.00,0.00,1.00] ], [vector (-1081.08,-351.771,0.299746), [0.00,0.00,0.00,1.00] ]], #GasTank_Object: [[vector (-1135.46,-269.463,-0.000252962), [0.00,0.00,0.00,1.00] ], [vector (-1114.83,-268.376,-0.000251055), [0.00,0.00,0.00,1.00] ], [vector (-1097.27,-267.987,-0.000249147), [0.00,0.00,0.00,1.00] ]], #ArrowsRight_Object: [[vector (-1036.56,-287.455,-0.000240326), [0.00,0.92,0.00,-0.38] ], [vector (-1017.61,-253.7,0.299765), [0.00,-0.79,0.00,0.61] ]], #ArrowsLeft_Object: [[vector (-1123.19,-213.688,0.299758), [0.00,0.50,0.00,0.87] ], [vector (-1137.1,-250.312,0.99975), [0.00,0.61,0.00,0.79] ], [vector (-1148.01,-283.543,0.299749), [0.00,0.61,0.00,0.79] ]], #BusDog: [[vector (-1071.92,-318.424,-0.000249028), [0.00,-0.26,0.00,0.97] ], [vector (-1135.35,-387.883,-0.000262916), [0.00,-0.50,0.00,0.87] ]], #TruckRed: [[vector (-1110.37,-350.51,-0.000256717), [0.00,0.92,0.00,0.38] ]], #Detonator_PickUp: [[vector (-1049.91,-239.003,1.49977), [-0.13,0.27,-0.04,0.95] ]], #CashSmall_PickUp: [[vector (-1137.57,-361.32,1.79976), [-0.13,0.27,-0.04,0.95] ], [vector (-1152.47,-370.386,1.79976), [-0.13,0.27,-0.04,0.95] ], [vector (-1173.57,-381.264,1.79976), [-0.13,0.27,-0.04,0.95] ], [vector (-1209.73,-392.025,1.79975), [-0.13,0.27,-0.04,0.95] ], [vector (-1190.33,-386.937,1.79976), [-0.13,0.27,-0.04,0.95] ]]]
	CreateTile	CityAssets	[#type: "CityBeachIntersection", #aipath: ["CityBeachIntersection"], #direction: "EastSouth", #position: vector(-1350.0,-410.0,-0.000286701), #RoadBlock_Object: [[vector (-1249.72,-420.157,-0.000277162), [0.00,1.00,0.00,0.00] ], [vector (-1382.24,-530.587,0.299698), [0.00,-0.26,0.00,0.97] ]], #ArrowsLeft_Object: [[vector (-1383.9,-429.148,0.29971), [0.00,0.61,0.00,0.79] ], [vector (-1362.79,-400.984,-0.00028491), [0.00,0.26,0.00,0.97] ], [vector (-1325.61,-390.904,0.299719), [0.00,-0.00,0.00,1.00] ]], #LupoBlue: [[vector (-1343.26,-490.974,-0.000294387), [0.00,0.00,0.00,1.00] ]], #TransporterRed: [[vector (-1356.35,-434.531,-0.000289619), [0.00,1.00,0.00,0.00] ]], #TruckRed: [[vector (-1271.54,-417.111,-0.000279665), [0.00,-0.79,0.00,0.61] ]], #TruckGreen: [[vector (-1343.28,-456.618,-0.000291049), [0.00,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (-1350.1,-522.238,1.49971), [-0.13,0.27,-0.04,0.95] ]]]
	CreateTile	CityAssets	[#type: "CityCurveDown", #aipath: ["CityCurveDown"], #direction: "NorthSouth", #position: vector(-1310.0,-660.0,3.4997), #CrateSmall_Object: [[vector (-1355.86,-639.089,0.554498), [-0.01,0.00,0.03,1.00] ], [vector (-1357.65,-640.156,0.694968), [-0.01,0.00,0.03,1.00] ], [vector (-1357.43,-638.441,0.638479), [-0.02,-0.26,0.03,0.97] ]], #OilDrumNormal_Object: [[vector (-1315.63,-645.731,0.889084), [-0.02,-0.00,-0.01,1.00] ]], #OilDrumExplosive_Object: [[vector (-1316.3,-648.48,0.997165), [-0.02,0.00,-0.01,1.00] ]], #TransporterRed: [[vector (-1317.14,-703.539,3.25322), [0.01,1.00,0.02,0.00] ]], #TransporterWhite: [[vector (-1309.27,-674.836,2.05034), [-0.02,0.38,0.01,0.92] ]], #BusGrey: [[vector (-1302.45,-767.654,3.49968), [0.00,-0.01,0.00,1.00] ]], #Detonator_PickUp: [[vector (-1350.33,-606.775,1.48996), [-0.13,0.27,-0.04,0.95] ]], #CashSmall_PickUp: [[vector (-1342.39,-670.862,3.02145), [-0.13,0.27,-0.04,0.95] ], [vector (-1336.82,-677.278,3.43562), [-0.13,0.27,-0.04,0.95] ], [vector (-1331.12,-684.038,4.00146), [-0.13,0.27,-0.04,0.95] ], [vector (-1325.33,-699.273,4.59025), [-0.13,0.27,-0.04,0.95] ]]]
	CreateTile	CityAssets	[#type: "CityGrassExit", #aipath: ["CityGrassExit"], #direction: "NorthEast", #position: vector(-1310.0,-910.0,13.4997), #ArrowsLeft_Object: [[vector (-1308.76,-920.782,3.49967), [0.00,1.00,0.00,0.05] ], [vector (-1325.28,-901.054,3.49967), [0.00,0.67,0.00,0.74] ]], #CashSmall_PickUp: [[vector (-1215.66,-905.359,4.99968), [-0.13,0.27,-0.04,0.95] ], [vector (-1205.82,-905.386,4.99968), [-0.13,0.27,-0.04,0.95] ], [vector (-1195.23,-905.263,4.99968), [-0.13,0.27,-0.04,0.95] ]]]
	CreateTile	CityAssets	[#type: "CityGrassExit", #aipath: ["CityGrassExit"], #direction: "WestSouth", #position: vector(-1060.0,-910.0,13.4997), #Ramp2_Object: [[vector (-1059.47,-1015.31,12.1585), [0.00,1.00,0.05,0.00] ]], #ArrowsRight_Object: [[vector (-1062.95,-897.903,3.49969), [0.00,0.00,0.00,1.00] ], [vector (-1040.99,-917.044,3.49969), [0.00,-0.61,0.00,0.79] ]], #Nitro_PickUp: [[vector (-1059.71,-964.839,7.17299), [-0.13,0.27,-0.04,0.95] ]], #CashBig_PickUp: [[vector (-1060.04,-1026.14,16.3931), [-0.13,0.27,-0.04,0.95] ]], #CashSmall_PickUp: [[vector (-1183.31,-905.769,4.99968), [-0.13,0.27,-0.04,0.95] ]]]
	CreateTile	CityAssets	[#type: "CityGrassEntrance", #aipath: ["CityGrassEntrance"], #direction: "NorthSouth", #position: vector(-1060.0,-1160.0,3.49967), #ArrowsRight_Object: [[vector (-1043.96,-1156.27,3.49967), [0.00,-0.79,0.00,0.61] ]], #ArrowsLeft_Object: [[vector (-1074.13,-1155.89,3.49967), [0.00,0.78,0.00,0.62] ]]]
	CreateTile	CityAssets	[#type: "CityGrassExit", #aipath: ["CityGrassExit"], #direction: "NorthSouth", #position: vector(-1060.0,-1410.0,13.4997), #StopSign_Object: [[vector (-1052.86,-1455.15,4.61096), [-0.00,1.00,0.06,0.01] ], [vector (-1065.98,-1456.48,4.86939), [-0.02,0.96,0.05,0.27] ], [vector (-1070.87,-1436.92,3.74542), [0.04,0.92,0.02,0.40] ]], #Ramp1_Object: [[vector (-1059.49,-1312.95,3.44551), [0.00,1.00,0.00,0.00] ]], #CashBig_PickUp: [[vector (-1060.29,-1325.9,6.74966), [-0.13,0.27,-0.04,0.95] ]]]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 9, #type: "CityCurve4", #aipath: ["CityCurve4"], #direction: "NorthSouth", #position: vector(-1600.0,-409.531,-0.0002768)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 9, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "NorthSouth", #position: vector(-1349.96,-160.0,-0.300257)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 1, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "NorthSouth", #position: vector(-1349.96,-160.0,-0.300257)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 1, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "NorthSouth", #position: vector(-1349.96,-160.0,-0.300257)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 2, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "NorthSouth", #position: vector(-1349.96,-160.0,-0.300257)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 3, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "NorthSouth", #position: vector(-1349.96,-160.0,-0.300257)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 1, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "NorthSouth", #position: vector(-1349.96,-160.0,-0.300257)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 6, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "NorthSouth", #position: vector(-1349.96,-160.0,-0.300257)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 6, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "NorthSouth", #position: vector(-1349.96,-160.0,-0.300257)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 4, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "NorthSouth", #position: vector(-1349.96,-160.0,-0.300257)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 8, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "NorthSouth", #position: vector(-1349.96,-160.0,-0.300257)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 11, #type: "CityGrassExit", #aipath: ["CityGrassExit"], #direction: "NorthSouth", #position: vector(-1560.0,-910.0,13.4996)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 12, #type: "CityGrassExit", #aipath: ["CityGrassExit"], #direction: "NorthSouth", #position: vector(-1560.0,-910.0,13.4996)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 13, #type: "CityGrassEntrance", #aipath: ["CityGrassEntrance"], #direction: "NorthSouth", #position: vector(-1310.0,-1160.0,3.49965)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 12, #type: "CityGrassEntrance", #aipath: ["CityGrassEntrance"], #direction: "NorthSouth", #position: vector(-1310.0,-1160.0,3.49965)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 12, #type: "CityGrassExit", #aipath: ["CityGrassExit"], #direction: "NorthSouth", #position: vector(-1560.0,-910.0,13.4996)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 14, #type: "CityGrassVertical", #aipath: ["CityGrassVertical"], #direction: "NorthSouth", #position: vector(-1060.0,-1660.0,13.4996)]
CityTrack103Build_End			
