CityTrack12Data_Begin			
	Name	Capetown Elminiation	
	CreateTile	CityAssets	[#type: "CityBeachCurves", #aipath: ["CityBeachCurves"], #direction: "SouthNorth", #position: vector(1259.87,2831.13,-3.49989), #OilDrumNormal_Object: [[vector (1328.21,2788.47,-5.86737), [-0.04,0.00,-0.01,1.00] ], [vector (1331.4,2788.06,-3.1999), [0.00,0.00,0.00,1.00] ], [vector (1232.66,2948.33,-3.49991), [0.00,-0.00,0.00,1.00] ], [vector (1231.02,2953.68,-3.49991), [0.00,-0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (1327.98,2783.09,-5.45849), [-0.04,-0.01,-0.01,1.00] ], [vector (1329.71,2790.27,-3.1999), [0.00,-0.01,0.00,1.00] ], [vector (1305.22,2821.2,-7.49988), [0.00,-0.01,0.00,1.00] ], [vector (1274.54,2795.96,-3.1999), [0.00,-0.01,0.00,1.00] ], [vector (1279.98,2798.19,-7.32474), [-0.01,-0.01,-0.00,1.00] ], [vector (1283.45,2790.52,-6.88472), [-0.04,-0.01,-0.01,1.00] ], [vector (1233.17,2945.63,-3.49991), [0.00,0.06,0.00,1.00] ], [vector (1231.44,2950.58,-3.49991), [0.00,0.06,0.00,1.00] ], [vector (1228.72,2953.79,-3.19991), [0.00,0.06,0.00,1.00] ]], #Ramp3_Object: [[vector (1319.52,2760.3,-4.24581), [-0.02,0.15,-0.00,0.99] ]], #BusDog: [[vector (1244.17,2874.34,-4.53622), [0.00,0.99,-0.04,-0.13] ]], #TruckRed: [[vector (1256.84,2860.93,-5.74979), [-0.00,0.99,-0.04,-0.13] ]], #TruckGreen: [[vector (1246.4,2919.41,-3.49991), [0.00,1.00,0.00,-0.00] ]], #Detonator_PickUp: [[vector (1316.56,2771.6,-0.294184), [0.06,-0.81,-0.08,0.58] ]]]
	CreateTile	CityAssets	[#type: "CityBeachPier", #aipath: ["CityBeachPier"], #direction: "SouthNorth", #position: vector(1239.87,3081.13,-3.49987), #OilDrumNormal_Object: [[vector (1271.25,2967.88,-3.19988), [0.00,-0.00,0.00,1.00] ], [vector (1272.79,2980.53,-3.19988), [0.00,-0.00,0.00,1.00] ], [vector (1290.74,3115.31,-3.49986), [0.00,-0.00,0.00,1.00] ], [vector (1293.21,3113.97,-3.19986), [0.00,-0.00,0.00,1.00] ], [vector (1291.25,3117.47,-3.49986), [0.00,-0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (1268.3,2968.14,-3.49988), [0.00,0.06,0.00,1.00] ], [vector (1273.75,2982.74,-3.19988), [0.00,0.06,0.00,1.00] ], [vector (1236.63,3008.47,-3.49988), [0.00,0.06,0.00,1.00] ], [vector (1251.98,3009.71,-3.49987), [0.00,0.06,0.00,1.00] ], [vector (1235.4,3054.46,-3.19987), [0.00,0.06,0.00,1.00] ], [vector (1234.9,3059.66,-3.19987), [0.00,0.06,0.00,1.00] ], [vector (1285.62,3107.56,-3.49986), [0.00,0.06,0.00,1.00] ], [vector (1288.84,3115.48,-3.49986), [0.00,0.06,0.00,1.00] ], [vector (1290.57,3104.88,-3.19986), [0.00,0.06,0.00,1.00] ], [vector (1218.38,3078.38,-3.19987), [0.00,0.04,0.00,1.00] ], [vector (1220.35,3075.16,-3.19987), [0.00,0.04,0.00,1.00] ]], #Ramp3_Object: [[vector (1289.69,3190.05,-3.49985), [0.00,-0.12,0.00,0.99] ]], #TransporterWhite: [[vector (1280.81,3170.67,-3.49986), [0.00,0.99,0.00,0.13] ], [vector (1252.37,3098.84,-3.49987), [0.00,0.99,0.00,0.13] ]], #BusGrey: [[vector (1250.88,3085.8,-3.49987), [0.00,0.99,0.00,0.13] ], [vector (1247.53,3056.75,-3.49987), [0.00,0.99,0.00,0.13] ], [vector (1264.79,2981.85,-3.49988), [0.00,0.00,0.00,1.00] ]], #TruckRed: [[vector (1291.98,3131.15,-3.49986), [0.00,-0.13,0.00,0.99] ]], #Detonator_PickUp: [[vector (1292.52,3201.3,0.500148), [0.06,-0.81,-0.08,0.58] ]]]
	CreateTile	CityAssets	[#type: "CityBeachStart", #aipath: ["CityBeachStart"], #direction: "SouthNorth", #position: vector(1239.87,3331.13,-3.50004), #OilDrumNormal_Object: [[vector (1291.87,3238.06,-3.49985), [0.00,-0.00,0.00,1.00] ], [vector (1290.94,3239.29,-3.49985), [0.00,-0.00,0.00,1.00] ]], #OilDrumExplosive_Object: [[vector (1289.63,3237.87,-3.49985), [0.00,0.04,0.00,1.00] ], [vector (1292.6,3236.88,-3.49985), [0.00,0.04,0.00,1.00] ], [vector (1268.11,3258.66,-3.19985), [0.00,0.04,0.00,1.00] ], [vector (1312.15,3278.45,-3.19984), [0.00,0.04,0.00,1.00] ], [vector (1268.11,3336.79,-3.19984), [0.00,0.04,0.00,1.00] ], [vector (1311.16,3348.91,-3.19984), [0.00,0.04,0.00,1.00] ], [vector (1268.85,3434.72,-3.19983), [0.00,0.00,0.00,1.00] ], [vector (1310.42,3444.86,-3.19983), [0.00,0.00,0.00,1.00] ]], #LupoRed: [[vector (1275.6,3269.02,-3.49985), [0.00,1.00,0.00,0.00] ]], #TransporterRed: [[vector (1277.83,3241.08,-3.49985), [0.00,1.00,0.00,0.00] ]], #TruckRed: [[vector (1303.9,3372.33,-3.49983), [0.00,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (1299.37,3317.87,-1.9998), [0.06,-0.81,-0.08,0.58] ]], #Detonator_PickUp: [[vector (1280.1,3317.77,-1.9998), [0.06,-0.81,-0.08,0.58] ]]]
	CreateTile	CityAssets	[#type: "CityBeachBahnEnd", #aipath: ["CityBeachBahnEnd"], #direction: "SouthNorth", #position: vector(1249.87,3581.13,-3.49973), #OilDrumExplosive_Object: [[vector (1263.65,3475.05,-3.19196), [0.00,0.00,0.00,1.00] ], [vector (1300.27,3501.28,-3.19195), [0.00,0.00,0.00,1.00] ], [vector (1246.58,3548.47,-3.49981), [0.00,0.00,0.00,1.00] ], [vector (1241.39,3568.27,-3.49981), [0.00,0.00,0.00,1.00] ], [vector (1218.87,3577.67,-3.19195), [0.00,0.00,0.00,1.00] ], [vector (1239.9,3589.3,-3.49981), [0.00,0.00,0.00,1.00] ], [vector (1260.68,3600.68,-3.19194), [0.00,0.00,0.00,1.00] ], [vector (1219.36,3616.11,-3.19194), [0.00,0.00,0.00,1.00] ], [vector (1238.91,3619.57,-3.4998), [0.00,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (1264.14,3544.48,-1.99977), [0.06,-0.81,-0.08,0.58] ]], #Detonator_PickUp: [[vector (1265.53,3512.84,-1.99977), [0.06,-0.81,-0.08,0.58] ]]]
	CreateTile	CityAssets	[#type: "CityBeachBahnEnd", #aipath: ["CityBeachBahnEnd"], #direction: "SouthNorth", #position: vector(1199.87,3831.13,-3.49968), #OilDrumExplosive_Object: [[vector (1246.33,3754.85,-3.19191), [0.00,0.00,0.00,1.00] ], [vector (1193.63,3757.82,-3.19191), [0.00,0.00,0.00,1.00] ], [vector (1214.17,3771.18,-3.49977), [0.00,0.00,0.00,1.00] ], [vector (1211.2,3771.67,-3.49977), [0.00,0.00,0.00,1.00] ], [vector (1207.74,3775.63,-3.49977), [0.00,0.00,0.00,1.00] ], [vector (1213.61,3822.03,-3.1919), [0.00,0.00,0.00,1.00] ], [vector (1190.85,3817.82,-3.49977), [0.00,0.00,0.00,1.00] ], [vector (1189.36,3836.38,-3.49976), [0.00,0.00,0.00,1.00] ], [vector (1188.12,3866.07,-3.49976), [0.00,0.00,0.00,1.00] ], [vector (1190.35,3868.3,-3.49976), [0.00,0.00,0.00,1.00] ]], #Nitro_PickUp: [[vector (1254.0,3722.92,-1.99973), [0.06,-0.81,-0.08,0.58] ]], #Detonator_PickUp: [[vector (1245.92,3742.89,-1.99973), [0.06,-0.81,-0.08,0.58] ]]]
	CreateTile	CityAssets	[#type: "CityBeachPier", #aipath: ["CityBeachPier"], #direction: "SouthNorth", #position: vector(1179.87,4081.13,-3.49973), #Nitro_PickUp: [[vector (1206.3,4006.05,-1.99969), [0.06,-0.81,-0.08,0.58] ]]]
	CreateTile	CityAssets	[#type: "CityBeachStart", #aipath: ["CityBeachStart"], #direction: "SouthNorth", #position: vector(1179.87,4331.13,-3.4999)]
	CreateTile	CityAssets	[#type: "CityBeachEnd", #aipath: ["CityBeachEnd"], #direction: "SouthNorth", #position: vector(1179.82,4581.14,-3.49968)]
	CreateTile	CityAssets	[#type: "CityBeachPier", #aipath: ["CityBeachPier"], #direction: "SouthNorth", #position: vector(1139.87,4831.13,-3.49966)]
	CreateTile	CityAssets	[#type: "CityBeachCurves", #aipath: ["CityBeachCurves"], #direction: "SouthNorth", #position: vector(1119.81,5081.13,-3.49966)]
	CreateTile	CityAssets	[#type: "CityBeachVerticalHill", #aipath: ["CityBeachVerticalHill"], #direction: "SouthNorth", #position: vector(1059.81,5331.13,-3.49965)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 7, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 7, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "SouthNorth", #position: vector(109.972,1500.01,-3.80001)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 4, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 5, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 7, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 7, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 10, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 11, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 12, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 13, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 13, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 13, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 13, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 13, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 18, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 18, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 20, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 21, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 10, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 3, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "SouthNorth", #position: vector(109.972,1500.01,-3.80001)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 6, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "SouthNorth", #position: vector(109.972,1500.01,-3.80001)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 6, #type: "CityNothing", #aipath: ["CityNothing"], #direction: "SouthNorth", #position: vector(109.972,1500.01,-3.80001)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 22, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 1, #type: "CityCurve2", #aipath: ["CityCurve2"], #direction: "SouthNorth", #position: vector(0.0,-250.0,0.000423182)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 24, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 25, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
	CreateTile	CityAssets	[#deco: TRUE, #parent: 26, #type: "CityBeachSea", #aipath: ["CityBeachSea"], #direction: "SouthNorth", #position: vector(-80.0652,1250.01,-3.50006)]
