JungleTrack102Data_Begin			
	Name	SpeedBeachBattleRace	
	CreateTile	JungleAssets	[#type: "JungleBeachInnerCurve2", #aipath: ["JungleBeachInnerCurve2"], #direction: "EastSouth", #position: vector(-714.373,-65.1837,4.28996), #Nitro_PickUp: [[vector (-710.998,-60.0093,12.0247), [-0.03,0.97,0.13,-0.21] ]], #Repair_PickUp: [[vector (-714.056,-64.4058,12.1608), [-0.03,0.97,0.13,-0.21] ]]]
	CreateTile	JungleAssets	[#type: "JungleBeachOuterCurve2", #aipath: ["JungleBeachOuterCurve2"], #direction: "NorthWest", #position: vector(-714.373,-315.184,4.29355), #DirectionArrows_Object: [[vector (-783.55,-223.444,8.37447), [-0.01,-0.38,0.03,0.92] ], [vector (-771.363,-235.571,7.80966), [0.02,0.92,0.00,0.38] ], [vector (-817.058,-392.732,1.31865), [0.04,0.87,-0.02,0.50] ]], #Ramp3_Object: [[vector (-782.326,-234.367,8.16435), [0.02,0.93,0.00,0.38] ]]]
	CreateTile	JungleAssets	[#type: "JungleBeachExit", #aipath: ["JungleBeachExit"], #direction: "EastNorth", #position: vector(-964.374,-315.173,4.29521), #DirectionArrows_Object: [[vector (-862.888,-343.45,4.11531), [0.01,0.87,-0.01,0.50] ]], #ArrowsRight_Object: [[vector (-942.425,-371.948,4.90579), [0.01,0.92,-0.00,0.38] ], [vector (-904.353,-400.431,3.70552), [0.02,0.97,0.01,0.26] ], [vector (-858.865,-425.592,0.420128), [0.02,0.97,-0.01,0.24] ]]]
	CreateTile	JungleAssets	[#type: "JungleDirtEntrance", #aipath: ["JungleDirtEntrance"], #direction: "SouthNorth", #position: vector(-964.373,-65.184,14.091), #Nitro_PickUp: [[vector (-964.38,-126.605,17.2285), [-0.03,0.97,0.13,-0.21] ]]]
	CreateTile	JungleAssets	[#type: "JungleDirtVertical1", #aipath: ["JungleDirtVertical1"], #direction: "SouthNorth", #position: vector(-969.783,184.816,29.0912), #Pylon_Object: [[vector (-975.365,89.0805,29.09), [0.00,0.00,0.00,1.00] ], [vector (-971.462,89.1078,29.0901), [0.00,-0.45,0.00,0.89] ], [vector (-967.129,89.0697,29.0901), [0.00,-0.46,0.00,0.89] ], [vector (-963.403,89.3936,29.0901), [0.00,0.89,0.00,-0.45] ]], #AdSign_Object: [[vector (-971.527,91.1245,29.0911), [0.00,0.00,0.00,1.00] ], [vector (-975.062,91.2366,29.0911), [0.00,-0.13,0.00,0.99] ], [vector (-967.318,91.3344,29.0911), [0.00,0.11,0.00,0.99] ], [vector (-963.645,92.1556,29.0911), [0.00,0.20,0.00,0.98] ]], #Nitro_PickUp: [[vector (-969.62,295.25,30.5914), [-0.03,0.97,0.13,-0.21] ]]]
	CreateTile	JungleAssets	[#type: "JungleDirtVertical2", #aipath: ["JungleDirtVertical2"], #direction: "SouthNorth", #position: vector(-969.783,434.816,29.0915), #Ramp4_Object: [[vector (-968.856,324.64,29.0914), [0.00,-0.00,0.00,1.00] ]]]
	CreateTile	JungleAssets	[#type: "JungleDirtHorizontal3", #aipath: ["JungleDirtHorizontal3"], #direction: "SouthNorth", #position: vector(-997.702,684.816,-13.5678)]
	CreateTile	JungleAssets	[#type: "JungleBridgeEntrance", #aipath: ["JungleBridgeEntrance"], #direction: "SouthNorth", #position: vector(-910.797,928.192,-33.2255)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 5, #type: "JungleRoadCurve4", #aipath: ["JungleRoadCurve4"], #direction: "SouthNorth", #position: vector(-714.385,434.795,14.3786)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 15, #type: "JungleBridgeVertical", #aipath: ["JungleBridgeVertical"], #direction: "SouthNorth", #position: vector(-910.797,1178.19,-33.2266)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 10, #type: "JungleBeachOuterCurve2", #aipath: ["JungleBeachOuterCurve2"], #direction: "SouthNorth", #position: vector(-964.362,-565.173,4.29501)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 9, #type: "JungleBeachSea1", #aipath: ["JungleBeachSea1"], #direction: "SouthNorth", #position: vector(-714.374,-565.184,4.2933)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 7, #type: "JungleBeachSea1", #aipath: ["JungleBeachSea1"], #direction: "SouthNorth", #position: vector(-714.374,-565.184,4.2933)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 1, #type: "JungleRoadCurve4", #aipath: ["JungleRoadCurve4"], #direction: "SouthNorth", #position: vector(-714.385,434.795,14.3786)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 3, #type: "JungleRoadTransferDirt1", #aipath: ["JungleRoadTransferDirt1"], #direction: "SouthNorth", #position: vector(35.6166,749.992,14.3444)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 6, #type: "JungleBeachOuterCurve2", #aipath: ["JungleBeachOuterCurve2"], #direction: "SouthNorth", #position: vector(-964.362,-565.173,4.29501)]
JungleTrack102Build_End			
