JungleTrack1Data_Begin			
	Name	Bogota Jungle Race	
	CreateTile	JungleAssets	[#type: "JungleRoadTransferDirt2", #aipath: ["JungleRoadTransferDirt2"], #direction: "SouthNorth", #position: vector(35.6129,1249.99,13.016), #RoadBlock_Object: [[vector (69.7814,1231.56,13.19), [-0.04,0.71,-0.04,0.70] ], [vector (65.6379,1264.98,13.4016), [-0.07,0.78,-0.08,0.61] ]], #ArrowsRight_Object: [[vector (11.5005,1226.56,12.716), [0.00,0.48,0.00,0.88] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadTransferDirt1", #aipath: ["JungleRoadTransferDirt1"], #direction: "SouthEast", #position: vector(35.6129,1499.99,12.9947), #CrateSmall_Object: [[vector (25.3763,1428.66,13.4325), [-0.02,0.00,0.05,1.00] ], [vector (23.4748,1463.37,12.1015), [0.01,0.00,0.00,1.00] ]], #OilDrumNormal_Object: [[vector (25.0857,1464.51,12.1196), [0.01,-0.26,0.00,0.97] ], [vector (23.386,1463.74,13.4065), [0.01,-0.26,0.00,0.97] ]], #OilDrumExplosive_Object: [[vector (50.4998,1443.22,13.0369), [-0.01,0.00,-0.04,1.00] ], [vector (52.0738,1442.44,13.1362), [-0.02,-0.38,-0.01,0.92] ]], #CrateBig_Object: [[vector (46.6702,1406.81,13.3387), [0.01,0.15,0.00,0.99] ], [vector (44.2317,1405.35,13.3258), [0.01,0.40,-0.00,0.92] ]], #SheetBig_Object: [[vector (54.1977,1440.38,12.8952), [-0.02,0.45,0.01,0.89] ]], #DirectionArrows_Object: [[vector (40.8848,1468.77,12.1444), [0.01,0.04,0.00,1.00] ], [vector (27.3457,1468.26,12.197), [0.01,-0.02,0.00,1.00] ]], #Dumpster_Object: [[vector (24.3097,1429.78,13.6587), [-0.00,0.26,0.04,0.96] ]], #GarbageBag_Object: [[vector (26.9771,1429.4,13.2775), [-0.01,0.00,-0.00,1.00] ], [vector (28.3141,1438.57,13.0357), [-0.02,0.00,-0.00,1.00] ], [vector (29.017,1435.12,13.1663), [-0.02,0.00,-0.00,1.00] ], [vector (30.5159,1432.73,13.2129), [-0.01,0.00,-0.00,1.00] ]], #SandBag_Object: [[vector (44.3116,1405.14,15.2058), [0.01,-0.50,0.00,0.87] ], [vector (45.6076,1403.95,13.2943), [0.01,0.13,0.00,0.99] ]], #Detonator_PickUp: [[vector (31.0811,1384.9,14.4108), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadHorizontal2", #aipath: ["JungleRoadHorizontal2"], #direction: "WestEast", #position: vector(285.613,1565.19,12.9947), #LupoRed: [[vector (270.657,1538.41,8.39452), [-0.00,0.92,-0.02,0.39] ]], #TransporterRed: [[vector (199.503,1499.83,12.4901), [-0.02,-0.61,0.01,0.79] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadHorizontal1", #aipath: ["JungleRoadHorizontal1"], #direction: "WestEast", #position: vector(535.613,1565.19,12.9948), #TransporterRed: [[vector (619.729,1570.75,12.6948), [0.00,0.71,0.00,0.70] ]], #Nitro_PickUp: [[vector (457.436,1564.99,14.1948), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadTransferDirt2", #aipath: ["JungleRoadTransferDirt2"], #direction: "WestSouth", #position: vector(785.613,1565.19,12.9948), #LogBig_Object: [[vector (774.278,1552.69,12.8174), [0.01,0.00,0.00,1.00] ], [vector (767.293,1559.13,12.9069), [0.01,-0.61,-0.00,0.80] ], [vector (766.301,1554.36,12.8461), [0.01,-0.51,-0.00,0.86] ]], #DirectionArrows_Object: [[vector (797.388,1532.77,12.401), [-0.01,-0.57,0.01,0.82] ]], #LupoBlue: [[vector (665.877,1570.68,12.6948), [0.00,0.71,0.00,0.71] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadVertical1", #aipath: ["JungleRoadVertical1"], #direction: "NorthSouth", #position: vector(785.613,1315.19,12.9948), #TransporterRed: [[vector (780.385,1368.16,12.6948), [0.00,1.00,0.00,0.00] ]]]
	CreateTile	JungleAssets	[#type: "JungleDirtExit", #aipath: ["JungleDirtExit"], #direction: "NorthSouth", #position: vector(785.613,1065.19,6.84511), #CrateSmall_Object: [[vector (776.154,1076.9,7.64027), [-0.01,-0.26,0.05,0.96] ]], #OilDrumNormal_Object: [[vector (775.999,1076.86,9.00713), [0.01,-0.00,0.05,1.00] ]], #OilDrumExplosive_Object: [[vector (774.243,1076.44,7.81711), [-0.01,-0.26,0.05,0.96] ]], #GasTank_Object: [[vector (770.307,1070.44,7.88346), [0.04,0.71,0.03,0.71] ]], #Repair_PickUp: [[vector (780.31,1077.34,8.74246), [-0.71,0.00,0.00,0.71] ]], #HiddenPackage_PickUp: [[vector (812.301,1165.76,14.0622), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	JungleAssets	[#type: "JungleDirtVertical2", #aipath: ["JungleDirtVertical2"], #direction: "NorthSouth", #position: vector(813.532,815.191,49.5046), #RoadBlock_Object: [[vector (794.821,701.983,49.8046), [0.00,-0.74,0.00,0.67] ]], #StopSign_Object: [[vector (817.807,715.517,50.5463), [-0.01,0.99,-0.05,-0.13] ], [vector (811.413,713.804,50.3994), [-0.01,0.99,-0.05,-0.14] ], [vector (804.867,712.471,50.2059), [0.00,1.00,-0.05,-0.02] ]], #Ramp4_Object: [[vector (810.168,738.346,50.4184), [0.00,1.00,0.05,-0.00] ]], #Nitro_PickUp: [[vector (792.147,889.51,12.9304), [-0.71,0.00,0.00,0.71] ]], #CashBig_PickUp: [[vector (810.924,701.271,58.7652), [-0.71,0.00,0.00,0.71] ]], #CashSmall_PickUp: [[vector (810.939,708.921,58.4905), [-0.71,0.00,0.00,0.71] ], [vector (810.939,716.542,57.8283), [-0.71,0.00,0.00,0.71] ], [vector (810.939,723.563,56.5063), [-0.71,0.00,0.00,0.71] ], [vector (810.939,730.842,54.7296), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	JungleAssets	[#type: "JungleBridgeExit", #aipath: ["JungleBridgeExit"], #direction: "NorthSouth", #position: vector(788.15,565.191,50.9784), #CrateSmall_Object: [[vector (796.769,553.971,52.8426), [0.00,-0.26,0.00,0.97] ]], #OilDrumNormal_Object: [[vector (815.976,634.326,48.7294), [-0.03,-0.00,-0.05,1.00] ], [vector (776.133,592.233,51.4021), [0.00,-0.00,0.02,1.00] ], [vector (777.713,592.836,51.3371), [0.00,-0.00,0.02,1.00] ], [vector (818.135,633.666,48.9271), [-0.01,-0.26,-0.02,0.96] ]], #RoadBlock_Object: [[vector (794.138,688.837,49.8141), [0.00,-0.64,0.00,0.77] ]], #CrateBig_Object: [[vector (800.253,555.824,51.2295), [0.00,-0.00,0.00,1.00] ], [vector (799.779,549.006,51.2295), [0.00,-0.00,0.00,1.00] ], [vector (798.024,558.052,50.9771), [0.00,-0.26,0.00,0.97] ], [vector (796.679,553.955,50.9771), [0.00,0.26,0.00,0.97] ]], #SheetSmall_Object: [[vector (823.751,636.751,48.7529), [-0.01,1.00,0.00,-0.08] ]], #SandBag_Object: [[vector (802.147,560.054,51.0907), [-0.01,-0.00,-0.03,1.00] ], [vector (797.018,562.537,50.9682), [-0.00,0.01,0.00,1.00] ], [vector (795.681,563.606,50.9634), [-0.00,0.71,0.00,0.70] ], [vector (799.507,561.736,51.0315), [0.01,0.75,-0.01,0.67] ], [vector (798.536,564.211,51.1482), [-0.07,1.00,0.00,0.00] ], [vector (797.751,563.236,51.7777), [0.18,-0.62,-0.22,0.74] ]], #Nitro_PickUp: [[vector (789.223,453.089,52.477), [-0.71,0.00,0.00,0.71] ]]]
	CreateTile	JungleAssets	[#type: "JungleBridgeVertical", #aipath: ["JungleBridgeVertical"], #direction: "NorthSouth", #position: vector(788.15,315.191,50.9769)]
	CreateTile	JungleAssets	[#type: "JungleBridgeEntrance", #aipath: ["JungleBridgeEntrance"], #direction: "NorthSouth", #position: vector(788.15,65.1913,50.9783), #OilDrumNormal_Object: [[vector (796.123,188.659,50.9769), [0.00,0.04,0.00,1.00] ], [vector (794.882,187.224,50.9769), [0.00,0.42,0.00,0.91] ], [vector (796.806,182.434,50.9769), [0.00,0.42,0.00,0.91] ], [vector (793.766,183.588,50.9769), [0.00,0.73,0.00,0.68] ], [vector (779.607,183.347,50.9769), [0.00,0.73,0.00,0.68] ], [vector (780.538,180.688,50.9769), [0.00,0.94,0.00,0.35] ]], #OilDrumExplosive_Object: [[vector (781.719,183.272,50.9769), [0.00,0.26,0.00,0.97] ]]]
	CreateTile	JungleAssets	[#type: "JungleDirtEntrance", #aipath: ["JungleDirtEntrance"], #direction: "NorthSouth", #position: vector(761.301,-184.809,57.6363), #CrateSmall_Object: [[vector (742.756,-84.7498,72.9363), [0.00,0.34,0.00,0.94] ]], #OilDrumExplosive_Object: [[vector (741.903,-86.3375,72.9363), [0.00,0.00,0.00,1.00] ]], #CrateBig_Object: [[vector (743.652,-87.069,72.9363), [0.00,0.00,0.00,1.00] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadTransferDirt2", #aipath: ["JungleRoadTransferDirt2"], #direction: "NorthSouth", #position: vector(761.301,-434.809,57.9362), #DirectionArrows_Object: [[vector (760.399,-464.73,57.6408), [-0.01,-0.75,-0.00,0.66] ]], #Crosses_Object: [[vector (644.293,-436.73,57.6362), [0.00,0.71,0.00,0.71] ]], #TransporterWhite: [[vector (763.738,-521.322,57.6362), [0.00,0.99,0.00,0.13] ]]]
	CreateTile	JungleAssets	[#type: "JungleRoadVertical3", #aipath: ["JungleRoadVertical3"], #direction: "NorthSouth", #position: vector(761.299,-684.808,59.2852), #OilDrumNormal_Object: [[vector (754.048,-621.648,58.1955), [-0.01,0.00,0.01,1.00] ], [vector (756.692,-621.419,58.127), [-0.01,0.00,0.01,1.00] ]], #OilDrumExplosive_Object: [[vector (755.48,-620.272,58.1422), [-0.00,0.13,0.01,0.99] ]], #VendingMachine_Object: [[vector (764.144,-660.524,59.6534), [0.00,1.00,0.00,0.00] ]], #CrateBig_Object: [[vector (768.627,-656.172,59.6534), [0.00,0.26,0.00,0.97] ], [vector (784.87,-604.282,57.9527), [-0.00,0.60,-0.00,0.80] ], [vector (786.02,-601.716,57.9372), [-0.00,0.93,0.00,-0.37] ], [vector (785.663,-602.439,59.8032), [0.00,0.87,0.00,-0.49] ]], #Dumpster_Object: [[vector (795.628,-615.273,58.065), [-0.00,0.99,0.00,0.13] ]], #GarbageBag_Object: [[vector (791.687,-613.046,58.0588), [-0.00,0.44,-0.00,0.90] ], [vector (790.077,-632.284,57.9246), [-0.00,0.75,0.00,0.66] ], [vector (792.661,-612.033,58.0593), [-0.00,0.75,0.00,0.66] ]], #AdSign_Object: [[vector (767.014,-624.391,57.6836), [-0.00,-0.26,-0.00,0.97] ]]]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 1, #type: "JungleRoadVertical2", #aipath: ["JungleRoadVertical2"], #direction: "NorthSouth", #position: vector(-31.4097,-250.002,-9.48234)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 8, #type: "JungleRoadCurve4", #aipath: ["JungleRoadCurve4"], #direction: "NorthSouth", #position: vector(-214.388,1250.0,13.0299)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 8, #type: "JungleRoadCurve1", #aipath: ["JungleRoadCurve1"], #direction: "NorthSouth", #position: vector(-214.381,1499.99,13.016)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 12, #type: "JungleDirtEntrance", #aipath: ["JungleDirtEntrance"], #direction: "NorthSouth", #position: vector(785.613,1815.19,12.6948)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 20, #type: "JungleRoadCurve4", #aipath: ["JungleRoadCurve4"], #direction: "NorthSouth", #position: vector(-214.388,1250.0,13.0299)]
	CreateTile	JungleAssets	[#deco: TRUE, #parent: 21, #type: "JungleRoadCurve3", #aipath: ["JungleRoadCurve3"], #direction: "NorthSouth", #position: vector(761.305,-934.81,59.2849)]
JungleTrack1Build_End			
